3.000, 0.000, 3.000, 0.155, 3.000, 0.155, 3.000, 0.000
3.000, 0.000, 3.000, 0.127, 3.000, 0.243, 3.000, 0.840
3.000, 0.000, 3.000, 0.222, 3.000, -0.030,3.000,  1.273
3.000, 0.000, 3.000, 0.246, 3.000, 0.053, 3.000, 0.558
3.000, -0.019,3.000,  0.428,3.000,  0.151,3.000,  0.681
3.000, 0.022, 3.000, 0.558, 3.000, 0.076, 3.000, 0.729
3.000, -0.104,3.000,  0.558,3.000,  0.173,3.000,  1.172
3.000, -0.040,3.000,  0.666,3.000,  0.171,3.000,  1.397
3.000, -0.023,3.000,  0.640,3.000,  0.268,3.000,  1.551
3.000, -0.027,3.000,  0.642,3.000,  0.427,3.000,  1.330
3.000, -0.184,3.000,  0.804,3.000,  0.405,3.000,  1.574
3.000, -0.144,3.000,  0.945,3.000,  0.493,3.000,  1.615
3.000, -0.092,3.000,  0.987,3.000,  0.486,3.000,  1.302
3.000, -0.107,3.000,  1.075,3.000,  0.515,3.000,  0.810
3.000, -0.004,3.000,  0.910,3.000,  0.651,3.000,  1.215
3.000, -0.089,3.000,  1.012,3.000,  0.556,3.000,  1.328
3.000, -0.191,3.000,  1.151,3.000,  0.638,3.000,  1.239
3.000, 0.016, 3.000, 1.174, 3.000, 0.786, 3.000, 1.439
3.000, 0.029, 3.000, 1.056, 3.000, 0.796, 3.000, 1.178
3.000, 0.002, 3.000, 1.332, 3.000, 0.774, 3.000, 0.773
3.000, -0.060,3.000,  1.499,3.000,  1.033,3.000,  1.505
3.000, -0.035,3.000,  1.458,3.000,  0.772,3.000,  1.352
3.000, -0.027,3.000,  1.390,3.000,  1.001,3.000,  0.452
3.000, -0.028,3.000,  1.457,3.000,  0.923,3.000,  0.481
3.000, 0.029, 3.000, 1.637, 3.000, 0.868, 3.000, 1.131
3.000, -0.052,3.000,  1.464,3.000,  0.894,3.000,  1.554
3.000, -0.133,3.000,  1.665,3.000,  1.036,3.000,  1.803
3.000, 0.014, 3.000, 1.690, 3.000, 1.098, 3.000, 0.992
3.000, 0.016, 3.000, 1.706, 3.000, 1.140, 3.000, 0.618
3.000, 0.001, 3.000, 1.754, 3.000, 1.160, 3.000, 1.500
3.000, -0.001,3.000,  1.670,3.000,  1.079,3.000,  1.902
3.000, -0.000,3.000,  1.719,3.000,  1.018,3.000,  0.433
3.000, 0.000, 3.000, 2.018, 3.000, 1.151, 3.000, 1.408
3.000, 0.000, 3.000, 1.792, 3.000, 1.285, 3.000, 1.897
3.000, -0.000,3.000,  1.844,3.000,  1.152,3.000,  1.313
3.000, -0.000,3.000,  1.911,3.000,  1.098,3.000,  1.417
3.000, 0.000, 3.000, 1.813, 3.000, 1.253, 3.000, 1.746
3.000, 0.000, 3.000, 1.994, 3.000, 1.421, 3.000, 1.996
3.000, 0.108, 3.000, 1.934, 3.000, 1.227, 3.000, 1.377
3.000, -0.019,3.000,  1.817,3.000,  1.321,3.000,  1.448
3.000, 0.200, 3.000, 1.950, 3.000, 1.451, 3.000, 1.923
3.000, 0.150, 3.000, 2.041, 3.000, 1.407, 3.000, 2.169
3.000, 0.145, 3.000, 1.995, 3.000, 1.363, 3.000, 1.979
3.000, 0.124, 3.000, 1.876, 3.000, 1.490, 3.000, 1.988
3.000, 0.082, 3.000, 2.102, 3.000, 1.442, 3.000, 1.953
3.000, 0.176, 3.000, 2.112, 3.000, 1.537, 3.000, 2.224
3.000, 0.138, 3.000, 2.057, 3.000, 1.564, 3.000, 1.911
3.000, 0.099, 3.000, 2.057, 3.000, 1.394, 3.000, 2.105
3.000, 0.065, 3.000, 2.087, 3.000, 1.655, 3.000, 2.075
3.000, 0.075, 3.000, 2.084, 3.000, 1.707, 3.000, 2.311
3.000, 0.183, 3.000, 1.984, 3.000, 1.553, 3.000, 2.080
3.000, 0.068, 3.000, 1.992, 3.000, 1.630, 3.000, 1.974
3.000, 0.015, 3.000, 2.115, 3.000, 1.677, 3.000, 2.251
3.000, 0.178, 3.000, 2.259, 3.000, 1.837, 3.000, 2.323
3.000, 0.145, 3.000, 2.264, 3.000, 1.695, 3.000, 2.055
3.000, -0.008,3.000,  2.137,3.000,  1.762,3.000,  2.182
3.000, 0.034, 3.000, 2.119, 3.000, 1.678, 3.000, 2.144
3.000, 0.129, 3.000, 2.088, 3.000, 1.719, 3.000, 2.229
3.000, 0.202, 3.000, 2.262, 3.000, 1.779, 3.000, 2.202
3.000, 0.184, 3.000, 2.139, 3.000, 1.805, 3.000, 2.163
3.000, 0.126, 3.000, 2.226, 3.000, 1.702, 3.000, 2.128
3.000, 0.176, 3.000, 2.153, 3.000, 1.867, 3.000, 2.075
3.000, 0.215, 3.000, 2.445, 3.000, 2.030, 3.000, 2.297
3.000, 0.238, 3.000, 2.268, 3.000, 1.890, 3.000, 2.203
3.000, 0.229, 3.000, 2.272, 3.000, 1.839, 3.000, 2.131
3.000, 0.226, 3.000, 2.289, 3.000, 1.957, 3.000, 2.069
3.000, 0.227, 3.000, 2.445, 3.000, 2.015, 3.000, 2.342
3.000, 0.227, 3.000, 2.186, 3.000, 1.939, 3.000, 2.041
3.000, 0.177, 3.000, 2.313, 3.000, 1.923, 3.000, 2.148
3.000, 0.173, 3.000, 2.274, 3.000, 2.005, 3.000, 2.177
3.000, 0.228, 3.000, 2.498, 3.000, 2.028, 3.000, 1.764
3.000, 0.232, 3.000, 2.318, 3.000, 1.941, 3.000, 1.183
